Player_A,18,24,28,20,32,38,50,26,34,42,55,28,36,40,34,50,52,46,42,72
Player_B,10,15,18,12,20,26,35,18,25,32,40,20,28,30,25,36,38,34,30,5
Player_C,8,12,15,10,18,22,30,15,22,28,36,18,25,27,22,32,34,30,26,0
Player_D,16,22,26,18,28,34,45,22,30,38,50,24,32,36,30,46,48,42,36,65
Player_E,9,14,18,12,22,26,34,16,24,30,38,20,26,28,24,34,36,32,28,12
Player_F,20,28,32,24,38,44,60,30,40,48,65,32,42,46,40,60,62,55,50,80
Player_G,11,16,20,14,24,28,36,20,26,32,40,22,28,30,28,36,38,34,30,18
Player_H,14,20,24,18,26,30,42,22,30,36,48,26,30,34,32,42,45,40,36,55
Player_I,13,21,25,17,29,34,44,20,32,40,50,24,34,38,32,48,50,44,40,60
Player_J,6,10,12,8,15,18,26,12,18,24,30,16,20,22,20,28,30,26,22,2
Player_K,18,26,30,22,34,40,55,28,38,46,60,30,40,44,38,55,58,50,46,75
Player_L,9,13,17,11,20,24,32,15,22,28,36,18,26,28,24,34,36,32,28,25
